Nazwa,Cena,Nr referencyjny,Adres zdjecia,Rozmiary,Cena przed obnizka,Cena po obnizce,Opis,Material wykonania,Kolor
Heels multicolor,460,   D00580-1451-272,https://baldowski.b-cdn.net/10031-new_cart_photo/heels-multicolor.jpg,"37,38,39",,,Heels multicolor on a 10-centimeter heel.,Made of natural leather., multicolor
Black heels,490,   D00580-1451-177,https://baldowski.b-cdn.net/3492-new_cart_photo/black-heels.jpg,"35,36,37,39,40,41,38 ON REQUEST",,,Black heels on a 10-centimeter heel. ,Made of natural leather., black
Heels multicolor,380,   D00580-1451-248,https://baldowski.b-cdn.net/8419-new_cart_photo/heels-multicolor.jpg,"36,37,38,39,40,41",,,Heels multicolor on a 10-centimeter heel.,Made of natural leather., multicolor
Red heels,420,   D03053-1451-006,https://baldowski.b-cdn.net/9739-new_cart_photo/red-heels.jpg,"35,36,37,39,40",,,Red heels on a 10-centimeter heel.,Made of natural leather., red
Heels multicolor,480,   D03053-1451-003,https://baldowski.b-cdn.net/8473-new_cart_photo/heels-multicolor.jpg,"36,37,39,40,41",,,Heels multicolor on a 10-centimeter heel.,Made of natural leather., multicolor
White shoes,440,   D03208-1451-001,https://baldowski.b-cdn.net/8653-new_cart_photo/white-shoes.jpg,"36,37,38,40",,,White shoes on a 10-centimeter heel. ,Made of natural leather., white
White shoes,440,   D03207-1451-001,https://baldowski.b-cdn.net/8661-new_cart_photo/white-shoes.jpg,"36,37,39,40",,,White shoes on a 10-centimeter heel. ,Made of natural leather., white
Heels beige,440,   D03207-1451-004,https://baldowski.b-cdn.net/9121-new_cart_photo/heels-beige.jpg,"37,38,39,40,41",,,Beige coloured heels on a 10-centimeter heel. ,Made of natural leather., beige
Heels nude,560,   D03166-1451-003,https://baldowski.b-cdn.net/10131-new_cart_photo/heels-nude.jpg,36,,,Nude coloured heels on a 10-centimeter heel. ,Made of natural leather., nude
Black heels,520,   D02728-1451-018/D02728 czarny lakier,https://baldowski.b-cdn.net/9165-new_cart_photo/black-heels.jpg,"35,37,38,41,35 ON REQUEST,36 ON REQUEST,39 ON REQUEST,40 ON REQUEST",,,Black heels on a 10-centimeter heel. ,Made of natural leather., black
Pink heels,450,   D03166-1451-001,https://baldowski.b-cdn.net/9771-new_cart_photo/pink-heels.jpg,"36,37",,,Pink heels on a 10-centimeter heel. ,Made of natural leather., pink
Heels beige,560,   D03154-1451-003,https://baldowski.b-cdn.net/10206-new_cart_photo/heels-beige.jpg,"36,39,41",,,Beige coloured heels on a 10-centimeter heel. ,Made of natural leather., beige
Heels pink,450,   D02728-1451-013,https://baldowski.b-cdn.net/8790-new_cart_photo/heels-pink.jpg,"36,37,39,40",,,Heels pink on a 10-centimeter heel. ,Made of natural leather., pink
Heels nude,520,   D02728-1451-010,https://baldowski.b-cdn.net/8597-new_cart_photo/heels-nude.jpg,"36,37,39,40,35 ON REQUEST,37 ON REQUEST,38 ON REQUEST,41 ON REQUEST",,,Heels nude on a 10-centimeter heel. ,Made of natural leather.,nude
Burgundy heels,490,   D00580-1451-274,https://baldowski.b-cdn.net/8936-new_cart_photo/burgundy-heels.jpg,"36,37,38,39,40",,,Black heels on a 10-centimeter heel. ,Made of natural leather., burgundy
Navy blue heels,490,   D00580-1451-114,https://baldowski.b-cdn.net/5887-new_cart_photo/navy-blue-heels.jpg,"36,39,40,35 ON REQUEST,37 ON REQUEST,38 ON REQUEST,41 ON REQUEST",,,Navy blue heels on a 10-centimeter heel. ,Made of natural leather., navy blue
Gold coloured heels,520,   D02728-1451-011,https://baldowski.b-cdn.net/8465-new_cart_photo/gold-coloured-heels.jpg,"36,38,39,40,35 ON REQUEST,37 ON REQUEST,41 ON REQUEST",,,Gold coloured heels on a 10-centimeter heel. ,Made of natural leather., gold
